Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Day,Ship_Year,Ship_Month,Ship_Day
1,CA-2026-871769,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123,West,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",272.5735944725324,2,0.15,-12.826992681060348,2026,9,15,2026,9,21
2,CA-2026-620698,Standard Class,CM-12445,Chuck Magee,Consumer,United States,San Francisco,California,94122,West,OFF-SU-10001225,Office Supplies,Supplies,Staple remover,7.29294880638053,2,0.0,0.1458589761276106,2026,6,8,2026,6,15
3,CA-2026-682024,Second Class,NC-18535,Nick Crebassa,Corporate,United States,Seattle,Washington,98105,West,OFF-BI-10000088,Office Supplies,Binders,GBC Imprintable Covers,26.82746814493241,3,0.2,9.724957202538,2026,11,12,2026,11,14
4,CA-2026-546286,Standard Class,DK-12985,Darren Koutras,Consumer,United States,San Francisco,California,94122,West,OFF-EN-10003448,Office Supplies,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",22.9957774043488,2,0.0,11.497888702174398,2026,5,6,2026,5,10
5,CA-2026-861421,First Class,DR-12880,Dan Reichenbach,Corporate,United States,Milford,Connecticut,6460,East,FUR-FU-10003976,Furniture,Furnishings,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",25.48436505362092,2,0.0,8.664684118231111,2026,6,30,2026,7,3
6,CA-2026-229481,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Nashville,Tennessee,37211,South,OFF-PA-10000141,Office Supplies,Paper,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",3.466855032915059,2,0.2,1.1700635736088325,2026,11,4,2026,11,9
7,CA-2026-168292,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,Phoenix,Arizona,85023,West,OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",79.72481993279767,2,0.2,5.979361494959825,2026,4,21,2026,4,28
8,CA-2026-427249,First Class,TB-21355,Todd Boyes,Corporate,United States,Sandy Springs,Georgia,30328,South,TEC-PH-10002350,Technology,Phones,Apple EarPods with Remote and Mic,55.55607461165722,2,0.0,15.555700891264022,2026,5,20,2026,5,21
9,CA-2026-839251,Second Class,LC-17050,Liz Carlisle,Consumer,United States,Los Angeles,California,90004,West,OFF-AR-10003829,Office Supplies,Art,Newell 35,6.487803171008975,2,0.0,1.881462919592603,2026,9,10,2026,9,15
10,CA-2026-394420,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,Long Beach,New York,11561,East,OFF-AP-10000595,Office Supplies,Appliances,Disposable Triple-Filter Dust Bags,8.66755793452437,2,0.0,2.253565062976336,2026,11,20,2026,11,26
